id,DATE_DECLARATION,NUMEROVISA,ENTITE_CODE,NOM_NAVIRE
41,2025-06-11 00:01:42,13-PDA1141106,13,Navire_509
42,2025-05-26 02:22:14,14/2-PDA0832605,14/2,Navire_597
43,2025-06-25 06:12:30,14/2-PDA1512506,14/2,Navire_946
44,2025-06-07 06:14:40,14-PDA1680706,14,Navire_609
45,2025-05-24 10:16:31,14/2-PDA0842405,14/2,Navire_802
46,2025-06-25 05:17:11,12/3-PDA1032506,12/3,Navire_487
47,2025-05-22 22:47:57,11/2-PDA0262205,11/2,Navire_391
48,2025-07-20 02:20:12,10/1-PDA0972007,10/1,Navire_377
49,2025-07-07 21:21:03,12-PDA3320707,12,Navire_823
50,2025-06-18 09:58:08,11/1-PDA1121806,11/1,Navire_610
51,2025-05-30 09:01:40,11-PDA0883005,11,Navire_598
52,2025-05-26 07:36:15,13/1-PDA1362605,13/1,Navire_878
53,2025-06-12 08:16:25,11/3-PDA1011206,11/3,Navire_685
54,2025-06-08 08:39:37,11-PDA1660806,11,Navire_693
55,2025-05-28 05:48:42,13/2-PDA1882805,13/2,Navire_301
56,2025-06-26 04:45:59,14/2-PDA2772606,14/2,Navire_992
57,2025-06-19 23:09:29,12/3-PDA2171906,12/3,Navire_540
58,2025-07-17 23:04:42,13/1-PDA0841707,13/1,Navire_275
59,2025-06-08 22:24:21,14/1-PDA1660806,14/1,Navire_594
60,2025-06-09 22:58:35,11/2-PDA2410906,11/2,Navire_692
61,2025-06-10 00:11:22,13-PDA0321006,13,Navire_441
62,2025-06-28 03:54:12,14/1-PDA2552806,14/1,Navire_971
63,2025-06-24 10:03:37,13-PDA1592406,13,Navire_867
64,2025-07-16 04:58:28,10/3-PDA1661607,10/3,Navire_199
65,2025-05-31 23:31:03,13-PDA0863105,13,Navire_939
66,2025-07-20 04:15:55,14-PDA3122007,14,Navire_605
67,2025-06-23 03:00:32,14/2-PDA2082306,14/2,Navire_786
68,2025-07-12 07:00:48,14-PDA3011207,14,Navire_119
69,2025-06-23 23:12:38,11/3-PDA1622306,11/3,Navire_535
70,2025-07-18 06:43:07,12/1-PDA0191807,12/1,Navire_525
71,2025-05-31 05:43:35,14-PDA0613105,14,Navire_589
72,2025-06-13 23:10:35,13/2-PDA0851306,13/2,Navire_875
73,2025-06-16 08:52:20,10/3-PDA3001606,10/3,Navire_174
74,2025-05-27 23:35:05,10/1-PDA0442705,10/1,Navire_189
75,2025-06-12 07:38:05,12/1-PDA1721206,12/1,Navire_178
76,2025-06-04 00:13:10,12/1-PDA0790406,12/1,Navire_374
77,2025-05-29 02:47:05,12/2-PDA1122905,12/2,Navire_757
78,2025-07-06 02:31:00,13/1-PDA3290607,13/1,Navire_190
79,2025-06-03 22:30:10,14/2-PDA0240306,14/2,Navire_807
80,2025-06-16 06:22:51,12-PDA2141606,12,Navire_946
81,2025-05-25 08:22:01,10/3-PDA1082505,10/3,Navire_124
82,2025-05-21 07:32:13,14-PDA1942105,14,Navire_456
83,2025-06-08 09:13:50,13/1-PDA2190806,13/1,Navire_411
84,2025-06-28 22:26:13,10/2-PDA0112806,10/2,Navire_151
85,2025-06-23 21:46:27,14/1-PDA0622306,14/1,Navire_241
86,2025-06-09 22:50:36,10/2-PDA2870906,10/2,Navire_633
87,2025-06-24 00:55:45,11/2-PDA1972406,11/2,Navire_170
88,2025-06-03 09:27:45,11/1-PDA2950306,11/1,Navire_103
89,2025-05-26 00:53:28,11/3-PDA0222605,11/3,Navire_150
90,2025-06-30 04:08:43,13/1-PDA2073006,13/1,Navire_273
91,2025-07-07 06:00:39,13-PDA0290707,13,Navire_511
92,2025-06-19 08:05:14,12/2-PDA0901906,12/2,Navire_200
93,2025-07-20 05:56:12,14/1-PDA0392007,14/1,Navire_364
94,2025-06-07 06:50:07,10-PDA2470706,10,Navire_439
95,2025-07-06 01:56:42,10-PDA3230607,10,Navire_497
96,2025-06-15 08:39:09,13/2-PDA0781506,13/2,Navire_593
97,2025-07-02 09:45:24,10/2-PDA0970207,10/2,Navire_555
98,2025-06-07 02:50:41,13/2-PDA3450706,13/2,Navire_791
99,2025-07-14 02:58:43,12-PDA2111407,12,Navire_887
100,2025-06-24 07:27:33,11/1-PDA1792406,11/1,Navire_799
101,2025-05-30 05:04:00,14/1-PDA2283005,14/1,Navire_449
102,2025-06-09 01:44:46,10/2-PDA2020906,10/2,Navire_721
103,2025-06-17 07:46:47,13/2-PDA0951706,13/2,Navire_815
104,2025-07-18 10:12:37,13/1-PDA1231807,13/1,Navire_239
105,2025-06-19 01:09:00,10/2-PDA2471906,10/2,Navire_656
106,2025-05-31 22:03:25,14/1-PDA2273105,14/1,Navire_964
107,2025-05-27 22:27:10,14-PDA1392705,14,Navire_946
108,2025-06-18 05:45:38,14/2-PDA3261806,14/2,Navire_260
109,2025-05-22 08:24:22,10/1-PDA2852205,10/1,Navire_507
110,2025-05-26 04:22:23,13/1-PDA0752605,13/1,Navire_901
111,2025-06-06 02:18:44,13/2-PDA0120606,13/2,Navire_251
112,2025-06-16 22:15:16,10/2-PDA0031606,10/2,Navire_856
113,2025-05-28 06:17:14,12/3-PDA3052805,12/3,Navire_884
114,2025-06-28 09:51:37,11-PDA0012806,11,Navire_616
115,2025-06-14 23:08:57,14/2-PDA2761406,14/2,Navire_261
116,2025-06-30 02:45:00,14-PDA3103006,14,Navire_815
117,2025-06-02 08:26:29,12/1-PDA3440206,12/1,Navire_860
118,2025-05-22 09:11:38,11/1-PDA0102205,11/1,Navire_620
119,2025-07-16 04:22:27,11/3-PDA0811607,11/3,Navire_909
120,2025-07-06 04:03:04,10/3-PDA1900607,10/3,Navire_100
